第一行的数据有点儿问题，可以忽略
rate代表产生1000条日志数据需要的时间，单位是秒
第一列是日志的产生速率，第二列是日志的上链速率（单个分片，等价于不分片的数据）
rate1=0.3092026710510254 rate2=32.897658348083496
rate1=0.25928735733032227 rate2=0.46852827072143555
rate1=0.2892327308654785 rate2=0.400083065032959
rate1=5.385270118713379 rate2=5.055019855499268
rate1=0.21934747695922852 rate2=0.47865867614746094
rate1=0.28925418853759766 rate2=0.4355335235595703
rate1=5.4180145263671875 rate2=5.012423992156982
rate1=0.26929378509521484 rate2=0.5186176300048828
rate1=0.28922080993652344 rate2=0.42908668518066406
rate1=5.408065319061279 rate2=5.018875598907471
rate1=0.24946212768554688 rate2=0.48870325088500977
rate1=0.2890920639038086 rate2=0.4421877861022949
rate1=5.442767143249512 rate2=5.0504302978515625
rate1=0.22937297821044922 rate2=0.498654842376709
rate1=0.2893829345703125 rate2=0.4256892204284668
rate1=5.327415466308594 rate2=4.92182731628418
rate1=0.2892327308654785 rate2=0.5086421966552734
rate1=0.2892422676086426 rate2=0.4520702362060547
rate1=5.421285629272461 rate2=5.039048194885254
rate1=0.2393627166748047 rate2=0.468747615814209
rate1=0.2792644500732422 rate2=0.44249773025512695
rate1=5.459659099578857 rate2=5.067040920257568
rate1=0.2692866325378418 rate2=0.4986763000488281
rate1=0.2892327308654785 rate2=0.43998241424560547
rate1=5.4206156730651855 rate2=5.040476322174072
rate1=0.21940946578979492 rate2=0.5086350440979004
rate1=0.28922557830810547 rate2=0.4787158966064453
rate1=5.329484939575195 rate2=4.85076904296875
rate1=0.2692866325378418 rate2=0.46874284744262695
rate1=0.2792501449584961 rate2=0.40645837783813477
rate1=5.40895938873291 rate2=5.082294940948486
rate1=0.2493453025817871 rate2=0.42887449264526367
rate1=0.2493453025817871 rate2=0.46010494232177734
rate1=5.342307090759277 rate2=4.9520182609558105
rate1=0.24933099746704102 rate2=0.48868656158447266
rate1=0.31916141510009766 rate2=0.3790116310119629
rate1=5.391175746917725 rate2=5.091969966888428
rate1=0.26927709579467773 rate2=0.4887056350708008
rate1=0.3091883659362793 rate2=0.4388117790222168
rate1=5.373363494873047 rate2=5.024311542510986
rate1=0.22938966751098633 rate2=0.5285978317260742
rate1=0.329134464263916 rate2=0.40889501571655273
rate1=5.412707328796387 rate2=5.033738613128662
rate1=0.25930166244506836 rate2=0.49867868423461914
rate1=0.2892756462097168 rate2=0.3789973258972168
rate1=5.408778190612793 rate2=5.0896525382995605
rate1=0.23941516876220703 rate2=0.47872304916381836
rate1=0.2791905403137207 rate2=0.44597387313842773
rate1=5.43581485748291 rate2=5.019750595092773
rate1=0.25928735733032227 rate2=0.448763370513916
rate1=0.2593088150024414 rate2=0.3490781784057617
rate1=0.27924537658691406 rate2=0.4193592071533203
rate1=5.342464447021484 rate2=4.923105239868164
rate1=0.2293682098388672 rate2=0.47870635986328125
rate1=0.29919862747192383 rate2=0.4239225387573242
rate1=5.474295616149902 rate2=5.100233554840088
rate1=0.28920412063598633 rate2=0.5086088180541992
rate1=0.2892184257507324 rate2=0.4093360900878906
rate1=5.335094928741455 rate2=5.005490779876709
rate1=0.22933244705200195 rate2=0.4886937141418457
rate1=0.2893185615539551 rate2=0.4119539260864258
rate1=5.432119369506836 rate2=5.050389766693115
rate1=0.2394866943359375 rate2=0.5483365058898926
rate1=0.3988933563232422 rate2=0.46872377395629883
rate1=5.387945175170898 rate2=4.999079704284668
rate1=0.22946834564208984 rate2=0.45895814895629883
rate1=0.26919126510620117 rate2=0.4406547546386719
rate1=5.314266681671143 rate2=4.973156452178955
rate1=0.23933649063110352 rate2=0.42884349822998047
rate1=0.27925968170166016 rate2=0.41867971420288086
rate1=5.3539204597473145 rate2=4.975125789642334
rate1=0.2493453025817871 rate2=0.43884754180908203
rate1=0.25929927825927734 rate2=0.4152989387512207
rate1=5.472214221954346 rate2=5.1267242431640625
rate1=0.21941661834716797 rate2=0.4587578773498535
rate1=0.25930166244506836 rate2=0.4530048370361328
rate1=5.345890522003174 rate2=4.902858734130859
rate1=0.20943164825439453 rate2=0.4687833786010742
rate1=0.2792668342590332 rate2=0.4260897636413574
rate1=5.326387882232666 rate2=4.930167198181152
rate1=0.2293872833251953 rate2=0.4986691474914551
rate1=0.3091621398925781 rate2=0.494081974029541
rate1=5.307357311248779 rate2=4.843201637268066
rate1=0.21941900253295898 rate2=0.46874284744262695
rate1=0.2992129325866699 rate2=0.4059171676635742
rate1=5.456204414367676 rate2=5.1001763343811035
rate1=0.20945310592651367 rate2=0.44878721237182617
rate1=0.27922868728637695 rate2=0.43442726135253906
rate1=5.31430721282959 rate2=4.919774532318115
rate1=0.20938396453857422 rate2=0.4787778854370117
rate1=0.2693939208984375 rate2=0.4172849655151367
rate1=5.357580184936523 rate2=4.940295219421387
rate1=0.24932146072387695 rate2=0.46872615814208984
rate1=0.2692699432373047 rate2=0.42644262313842773
rate1=5.463416576385498 rate2=5.086839199066162
rate1=0.2094411849975586 rate2=0.4488205909729004
rate1=0.2593088150024414 rate2=0.2892112731933594
rate1=5.3519487380981445 rate2=5.082666873931885
rate1=0.23938655853271484 rate2=0.4487729072570801
rate1=0.26923418045043945 rate2=0.46875476837158203
