rate代表产生1000条日志数据需要的时间，单位是秒
第一列是日志的产生速率，第二列是日志的上链速率
三个分片，mapTable数据为[{"version": 0, "startTime": 0, "endTime": 0, "shards": [[{"ip": "127.0.0.1", "port": "4008"},{"ip": "127.0.0.1", "port": "4009"},{"ip": "127.0.0.1", "port": "4010"}],[{"ip": "127.0.0.1", "port": "4011"},{"ip": "127.0.0.1", "port": "4012"}],[{"ip": "127.0.0.1", "port": "4013"},{"ip": "127.0.0.1", "port": "4014"}]]}]
50个打包成一个块
用了1001条日志最后只产生17个块的原因是，最后每台server上遗留有不够50条日志的log_queue

rate1=0.23907899856567383 rate2=0.18948793411254883
rate1=0.18950700759887695 rate2=0.11970043182373047
rate1=0.22942543029785156 rate2=0.039882659912109375
rate1=0.18950462341308594 rate2=0.36905765533447266
rate1=0.1695561408996582 rate2=0.13964176177978516
rate1=0.18950939178466797 rate2=0.2493596076965332
rate1=0.17955780029296875 rate2=0.08976936340332031
rate1=0.19948482513427734 rate2=0.25934696197509766
rate1=0.18950223922729492 rate2=0.029909610748291016
rate1=0.19948959350585938 rate2=0.14963150024414062
rate1=0.22941350936889648 rate2=0.9475445747375488
rate1=0.24935483932495117 rate2=0.05985260009765625
rate1=0.2493596076965332 rate2=0.019953250885009766
rate1=0.23946046829223633 rate2=0.0897526741027832
rate1=0.22933244705200195 rate2=0.14961957931518555
rate1=0.19948482513427734 rate2=0.059854984283447266
rate1=0.1994943618774414 rate2=0.24935483932495117



